time energy_total energy_core energy_ram power
29.33 865433386 657999597 207433789 2.95068e+07
29.26 863418304 655762359 207655945 2.95085e+07
29.18 861873544 654838228 207035316 2.95364e+07
29.18 859465851 651802164 207663687 2.94539e+07
29.22 865730692 657695643 208035049 2.9628e+07
29.26 865482339 657430568 208051771 2.9579e+07
29.27 865056250 656666288 208389962 2.95544e+07
29.07 861023450 653688085 207335365 2.9619e+07
29.29 865420862 657256069 208164793 2.95466e+07
29.22 866482852 658024805 208458047 2.96538e+07
