time energy_total energy_core energy_ram power
12.78 382781269 291563219 91218050 2.99516e+07
12.75 383579005 292516036 91062969 3.00846e+07
12.89 383762125 292042221 91719904 2.97721e+07
12.94 382485107 291308214 91176893 2.95584e+07
12.80 380341568 289245475 91096093 29714185
13.08 388396469 295974707 92421762 2.96939e+07
13.08 382367920 291456896 90911024 2.9233e+07
12.86 381841482 291358996 90482486 2.96922e+07
12.96 384576412 293126874 91449538 2.96741e+07
12.74 380641794 289541922 91099872 2.98777e+07
