time energy_total energy_core energy_ram power
20.04 1015882198 873564597 142317601 5.06927e+07
20.10 1022183800 879069222 143114578 5.08549e+07
20.11 1021920798 878716561 143204237 5.08165e+07
20.14 1022619788 879488594 143131194 5.07756e+07
20.20 1030583974 887037951 143546023 5.1019e+07
20.02 1013159527 871099333 142060194 5.06074e+07
20.12 1018423466 875783708 142639758 5.06175e+07
20.12 1029451665 886184133 143267532 5.11656e+07
20.04 1020871819 877979076 142892743 5.09417e+07
20.10 1018249414 875805558 142443856 5.06592e+07
