time energy_total energy_core energy_ram power
118.02 3463740155 2626588247 837151908 2.93488e+07
118.68 3474264401 2635586210 838678191 2.92742e+07
118.49 3475077237 2637908591 837168646 2.9328e+07
118.51 3481914805 2643370857 838543948 2.93808e+07
118.53 3478793787 2639058918 839734869 2.93495e+07
118.20 3465411054 2631783363 833627691 2.93182e+07
119.05 3485742490 2645688539 840053951 2.92797e+07
118.02 3463873683 2629133039 834740644 2.93499e+07
118.29 3468501420 2633233982 835267438 2.9322e+07
118.00 3458304542 2623802609 834501933 2.93077e+07
