#timestamp package-00 core0 uncore0 dram0 psys1 
81894.422729902 0 1282 0 0 0 
81894.500062093 1171689 1013059 61585 97411 1816157 
81894.600025051 1641719 1415524 70434 164612 2547540 
81894.700062155 1487301 1272702 63354 174316 2416803 
81894.800064548 1589596 1389095 51636 146972 2444757 
81894.900059079 1480282 1343197 18799 99853 2280085 
81895.000051804 1288509 1142637 18677 114380 2098322 
81895.100044883 1531796 1393124 18920 88623 2330804 
81895.200051098 1418819 1294491 9034 76049 2175410 
81895.300048474 1502011 1369442 15747 83130 2289484 
81895.400012518 1472896 1337338 13488 80322 2237848 
81895.500062516 1484616 1346066 14832 83740 2251215 
81895.600053964 1445492 1315304 12329 79651 2238520 
81895.700063564 1469112 1337521 14221 78979 2212030 
81895.800062725 1634395 1470455 31067 102417 2442682 
81895.900016450 1513729 1376950 20141 88317 2279779 
81896.000063313 1526547 1392025 13123 81360 2345453 
81896.100067427 1720393 1525387 53589 126953 2555902 
81896.200063876 1536923 1376400 32898 102783 2329950 
81896.300053803 1547176 1389828 28076 96923 2317560 
81896.400053398 1500118 1370785 10986 80322 2262262 
81896.500055514 1544369 1409848 11841 81299 2329828 
81896.600058757 1689082 1472713 27893 97900 2574640 
81896.700060126 1531246 1377560 28869 96497 2311944 
81896.800019307 1598080 1420163 39978 111205 2408747 
81896.900067477 1562252 1414913 20935 90881 2357538 
